hindi,english
कोलकाता,Kolkata
दिल्ली,Delhi
पद्म विभूषण,Padma Vibhushan
पिलानी,Pilani
बिड़ला परिवार,Birla family
"बिड़ला प्रौद्योगिकी एवं विज्ञान संस्थान, पिलानी","Birla Institute of Technology and Science, Pilani"
भारत,India
भारत सरकार,Government of India
महात्मा गांधी,Mahatma Gandhi
राजस्थान,Rajasthan
१९५७,1957
2008,2008
25 जनवरी,January 25
कोवलम नारायण पणिकर,Kavalam Narayana Panicker
तैयब मेहता,Tyeb Mehta
पद्म विभूषण,Padma Vibhushan
पद्मश्री,Padma Shri
भारत,India
भारत रत्न,Bharat Ratna
भारत सरकार,Government of India
सोमनाथ होरे,Somnath Hore
१९५४,1954
१९५५,1955
१९५६,1956
१९५७,1957
१९५८,1958
१९५९,1959
१९६०,1960
१९६२,1962
१९६३,1963
१९६४,1964
१९६५,1965
१९६६,1966
१९६७,1967
१९६८,1968
१९६९,1969
१९७०,1970
१९७१,1971
१९७२,1972
१९७३,1973
१९७४,1974
१९७५,1975
१९७६,1976
१९७७,1977
१९८०,1980
१९८१,1981
१९८२,1982
१९८३,1983
१९८४,1984
१९८५,1985
१९८६,1986
१९८७,1987
१९८८,1988
१९८९,1989
१९९०,1990
१९९१,1991
१९९२,1992
१९९८,1998
१९९९,1999
२०००,2000
२००१,2001
२००२,2002
२००३,2003
२००४,2004
२००५,2005
२००६,2006
२००७,2007
२००८,2008
२००९,2009
२०१०,2010
२०११,2011
२०१२,2012
२०१३,2013
२०१४,2014
२०१५,2015
उदयपुर,Udaipur
कला,Art
जैसलमेर,Jaisalmer
जोधपुर,Jodhpur
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
राजस्थान,Rajasthan
राजस्थान रत्न,Rajasthan Ratna
राजस्थानी,Rajasthani
लोक संगीत,Contemporary folk music
२००४,2004
कथक,Kathak
जयपुर,Jaipur
नई दिल्ली,New Delhi
पद्म श्री,Padma Shri
पाकिस्तान,Pakistan
बर्मिंघम,Birmingham
भारत सरकार,Government of India
रवि शंकर,Ravi Shankar
राजस्थान,Rajasthan
लेखक,Writer
इतिहास,History
इलाहाबाद विश्वविद्यालय,University of Allahabad
उदयपुर,Udaipur
कैम्ब्रिज,Cambridge
चीन,China (region)
जगत सिंह मेहता,Jagat Singh Mehta
नेपाल,Nepal
पाकिस्तान,Pakistan
भारत,India
भारतीय नौसेना,Indian Navy
भारतीय विदेश सेवा,Indian Foreign Service
मनमोहन सिंह,Manmohan Singh
मोहन सिंह मेहता,Mohan Sinha Mehta
युगाण्डा,Uganda
विदेश नीति,Foreign policy
संयुक्त राष्ट्र,United Nations
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
२०००,2000
जोधपुर,Jodhpur
नेपाल,Nepal
पद्म भूषण,Padma Bhushan
प्रवासी भारतीय दिवस,Pravasi Bharatiya Divas
बांग्लादेश,Bangladesh
भारत,India
भारतीय ज्ञानपीठ,Bharatiya Jnanpith
राजस्थान,Rajasthan
विश्व हिन्दी सम्मेलन,World Hindi Conference
सर्वोच्च न्यायालय,Supreme Court of India
हिंदी,Hindi
१९३१,1931
१९९८,1998
२००७,2007
६ अक्टूबर,October 6
९ नवंबर,November 9
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
राजस्थान,Rajasthan
१९७६,1976
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
राजस्थान,Rajasthan
समाज सेवा,Social work
१९७३,1973
गोवा मुक्ति संग्राम,Annexation of Goa
पद्म भूषण,Padma Bhushan
बांग्लादेश मुक्ति युद्ध,Bangladesh Liberation War
भारत,India
भारत सरकार,Government of India
१९७२,1972
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
राजस्थान,Rajasthan
१९७१,1971
अक्टूबर,October
अमीय चरण बैनर्जी,Amiya Charan Banerjee
इलाहाबाद,Allahabad
इलाहाबाद विश्वविद्यालय,University of Allahabad
कोटा,"Kota, Rajasthan"
गणित,Mathematics
गणितज्ञ,Mathematician
जयपुर,Jaipur
दिल्ली,Delhi
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
भारतीय,Indian
भारतीय गणित,Indian mathematics
भारतीय राष्ट्रीय विज्ञान अकादमी,Indian National Science Academy
भारतीय विज्ञान अकादमी,Indian Academy of Sciences
भारतीय विज्ञान संस्थान,Indian Institute of Science
मेघनाद साहा,Meghnad Saha
राजस्थान,Rajasthan
राजस्थान विश्वविद्यालय,University of Rajasthan
लैटिस-बोल्ट्ज़मैन मैथड,Lattice Boltzmann methods
विज्ञान स्नातक,Bachelor of Science
विज्ञान स्नातकोत्तर,Master of Science
शिमला,Shimla
संघ लोक सेवा आयोग,Union Public Service Commission
हार्वर्ड विश्वविद्यालय,Harvard University
हृदयाघात,Myocardial infarction
पद्म भूषण,Padma Bhushan
राजस्थान,Rajasthan
१९५८,1958
असम,Assam
इलियास अली,Ilias Ali (surgeon)
उत्तर प्रदेश,Uttar Pradesh
उद्योग,Industry
ओडिशा,Odisha
कर्नाटक,Karnataka
कला,Art
केरल,Kerala
खेल,Sport
गुजरात,Gujarat
गौतम गंभीर,Gautam Gambhir
चिकित्सा,Therapy
छत्तीसगढ़,Chhattisgarh
जगदीश प्रसाद,Jagdish Prasad
जम्मू और कश्मीर,Jammu and Kashmir (state)
जर्मनी,Germany
त्रिपुरा,Tripura
दिल्ली,Delhi
देवनागरी लिपि,Devanagari
पद्म भूषण,Padma Bhushan
पद्म विभूषण,Padma Vibhushan
पद्म श्री पुरस्कार (1954–1959),List of Padma Shri award recipients (1954–1959)
पद्म श्री पुरस्कार (1960–1969),List of Padma Shri award recipients (1960–1969)
पद्म श्री पुरस्कार (1970–1979),List of Padma Shri award recipients (1970–1979)
पद्म श्री पुरस्कार (1980–1989),List of Padma Shri award recipients (1980–1989)
पद्म श्री पुरस्कार (1990–1999),List of Padma Shri award recipients (1990–1999)
पद्म श्री पुरस्कार (2000–2009),List of Padma Shri award recipients (2000–2009)
पद्म श्री पुरस्कार (2010–2019),List of Padma Shri award recipients (2010–2019)
पश्चिम बंगाल,West Bengal
प्रभु देवा,Prabhu Deva
फ्रांस,France
बिहार,Bihar
भारत,India
भारत रत्न,Bharat Ratna
भारत सरकार,Government of India
मणिपुर,Manipur
मध्य प्रदेश,Madhya Pradesh
मनोज बाजपेयी,Manoj Bajpayee
महाराष्ट्र,Maharashtra
राजस्थान,Rajasthan
रोहिणी गोडबोले,Rohini Godbole
विज्ञान,Science
शिक्षा,Education
समाज सेवा,Social work
साहित्य,Literature
सिक्किम,Sikkim
सुब्रह्मण्यम जयशंकर,Subrahmanyam Jaishankar
हरियाणा,Haryana
हिमाचल प्रदेश,Himachal Pradesh
अंग्रेजी,English language
अग्रोहा,Agroha
ओलंपिक,Olympic Games
कांस्य पदक,Bronze medal
चीन,China (region)
चुरू,Churu
जयपुर,Jaipur
जाट,Jat people
दिल्ली,Delhi
पद्मश्री,Padma Shri
भारत,India
भारत सरकार,Government of India
भारतीय,Indian
भारतीय रेलवे,Indian Railways
राजगढ़,"Rajgarh, Madhya Pradesh"
राजस्थान,Rajasthan
राष्ट्रमंडल खेल,Commonwealth Games
लन्दन,London
संयुक्त राष्ट्र संघ,United Nations
स्वर्ण पदक,Gold medal
हरियाणा,Haryana
हवाई,Hawaii
हिसार,Hisar (city)
२०१० राष्ट्रमंडल खेल,2010 Commonwealth Games
पद्म श्री,Padma Shri
पद्मश्री पुरस्कार (२०१०–२०१९),List of Padma Shri award recipients (2010–2019)
भारत,India
भारतीय,Indian
मृद्भाण्ड,Pottery
राजस्थान,Rajasthan
पद्मश्री,Padma Shri
राजस्थान,Rajasthan
राजस्थानी के लिए साहित्य अकादमी पुरस्कार विजेताओं की सूची,List of Sahitya Akademi Award winners for Rajasthani
राजस्थानी साहित्य,Rajasthani literature
साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
1900 ग्रीष्मकालीन ओलम्पिक,1900 Summer Olympics
जैसलमेर,Jaisalmer
राजस्थान,Rajasthan
सांसद,Member of parliament
चूरू,Churu
बंगाल,Bengal
बिहार,Bihar
भाषा,Language
महादेवी वर्मा,Mahadevi Varma
राजस्थान,Rajasthan
राजस्थान विश्वविद्यालय,University of Rajasthan
राजस्थानी,Rajasthani
साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
सुजानगढ़,Sujangarh
जयपुर,Jaipur
राजस्थान,Rajasthan
संगीत,Music
आई॰ऍस॰बी॰ऍन॰,International Standard Book Number
जयपुर,Jaipur
जवाहर लाल नेहरू,Jawaharlal Nehru
जोधपुर,Jodhpur
दिल्ली,Delhi
पद्म श्री,Padma Shri
बाघ,Tiger
भरतपुर,"Bharatpur, Rajasthan"
भारत,India
भारत के राष्ट्रपति,President of India
भारतीय,Indian
रणथम्भोर राष्ट्रीय उद्यान,Ranthambore National Park
राजस्थान,Rajasthan
सरिस्का राष्ट्रीय उद्यान,Sariska Tiger Reserve
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
राजस्थान रत्न,Rajasthan Ratna
राजस्थानी साहित्य,Rajasthani literature
हिन्दी,Hindi
कपिला वात्स्यायन,Kapila Vatsyayan
पद्म श्री,Padma Shri
भारत,India
राजस्थान,Rajasthan
कोशकर्म,Lexicography
भारत,India
भाषाविज्ञान,Linguistics
राजस्थानी,Rajasthani
शब्दकोश,Dictionary
चित्रकला,Painting
जयपुर,Jaipur
जापान,Japan
टोक्यो विश्वविद्यालय,University of Tokyo
पद्म श्री,Padma Shri
भारत,India
हस्तशिल्प,Handicraft
जयपुर,Jaipur
नई दिल्ली,New Delhi
भारत,India
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
राजस्थान,Rajasthan
शिवचरण माथुर,Shiv Charan Mathur
पद्म भूषण,Padma Bhushan
राजस्थान,Rajasthan
१९५६,1956
इंडियन एक्सप्रेस,The Indian Express
द टाइम्स ऑफ़ इंडिया,The Times of India
नवभारत टाइम्स,Navbharat Times
पद्म श्री,Padma Shri
बीकानेर,Bikaner
भारत,India
मनमोहन सिंह,Manmohan Singh
मुम्बई,Mumbai
राजस्थान,Rajasthan
हिन्दुस्तान टाइम्स,Hindustan Times
एशिया,Asia
नोबेल पुरस्कार,Nobel Prize
न्यूयॉर्क,New York (state)
पत्रकारिता,Journalism
फ़िलीपीन्स,Philippines
साहित्य,Literature
जयप्रकाश नारायण,Jayaprakash Narayan
भारत,India
रेमन मैगसेसे पुरस्कार,Ramon Magsaysay Award
भारत,India
ललित कला,Fine art
ललित कला अकादमी,Lalit Kala Akademi
अंग्रेजी साहित्य,English literature
इलाहाबाद,Allahabad
उपन्यास,Novel
जगद्गुरु रामानन्दाचार्य राजस्थान संस्कृत विश्वविद्यालय,Jagadguru Ramanandacharya Rajasthan Sanskrit University
जयपुर,Jaipur
दिल्ली,Delhi
दूरदर्शन,Television
नाटक,Drama
पाश्चात्य दर्शन,Western philosophy
भट्ट मथुरानाथ शास्त्री,Bhatt Mathuranath Shastri
भवानी सिंह,Bhawani Singh
भारत,India
भारत सरकार,Government of India
भाषा,Language
महाराजा,Maharaja
राजभाषा,Official language
राजस्थान,Rajasthan
राजस्थान विश्वविद्यालय,University of Rajasthan
राष्ट्रपति,President (government title)
वेद,Vedas
शिक्षा,Education
संस्कृत नाटक,Indian classical drama
संस्कृत साहित्य,Sanskrit literature
संस्कृति,Culture
साहित्य,Literature
हिन्दी,Hindi
नायक,Hero
परमवीर चक्र,Param Vir Chakra
बेरी,Beri
भारत,India
हवलदार,Havildar
महावीर चक्र,Maha Vir Chakra
राजस्थान,Rajasthan
आर्य समाज,Arya Samaj
कमांडो,Super Commando Dhruva
कारगिल युद्ध,Kargil War
जम्मू-कश्मीर,Jammu and Kashmir (state)
भारत,India
भारतीय सेना,Indian Armed Forces
महावीर चक्र,Maha Vir Chakra
राजस्थान,Rajasthan
श्रीलंका,Sri Lanka
हरियाणा,Haryana
पद्म भूषण,Padma Bhushan
राजस्थान,Rajasthan
१९५८,1958
उत्तर प्रदेश,Uttar Pradesh
नागौर,Nagaur
राजस्थान,Rajasthan
शाह जहाँ,Shah Jahan
उत्तर प्रदेश,Uttar Pradesh
भारत,India
उपराष्ट्रपति,Vice President of India
जनता पार्टी,Janata Party
जयपुर,Jaipur
भारत,India
भारत के उपराष्ट्रपति,Vice President of India
भारत के मुख्यमंत्रियों की सूची,List of current Indian chief ministers
भारतीय जनता पार्टी,Bharatiya Janata Party
राजस्थान,Rajasthan
राजस्थान के मुख्यमंत्री,List of chief ministers of Rajasthan
सीकर,Sikar
१९२३,1923
२३ अक्टूबर,October 23
असम,Assam
पश्चिम बंगाल,West Bengal
बांसवाड़ा,Banswara
भारत,India
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
मुंबई,Mumbai
मुख्यमंत्री,Chief minister (India)
मेघालय,Meghalaya
राजस्थान,Rajasthan
झालावाड़,Jhalawar
बीकानेर,Bikaner
भारत,India
अक्का महादेवी,Akka Mahadevi
अगुम्बे,Agumbe
अरब सागर,Arabian Sea
अशोक,Ashoka
अशोक स्तंभ,Pillars of Ashoka
आंध्र प्रदेश,Andhra Pradesh
आकाशवाणी,All India Radio
आदि शंकराचार्य,Adi Shankara
इंडियन टेलीफोन इंडस्ट्रीज़,Indian Telephone Industries Limited
इन्फोसिस,Infosys
इस्लाम,Islam
ईसाई धर्म,Christianity
उगादि,Gudi Padwa
उच्च न्यायालय,High Court
उडुपी,Udupi
उडुपी कृष्ण मंदिर,Udupi Sri Krishna Matha
उत्तर कन्नड़,Uttara Kannada
उत्तर प्रदेश,Uttar Pradesh
उन्चल्ली प्रपात,Unchalli Falls
उर्दु,Urdu
एफ एम प्रसारण,FM broadcasting
एब्बे प्रपात,Abbey Falls
एयर डेक्कन,Simplifly Deccan
ऐहोल,Aihole
ऑल इंग्लैंड बैडमिंटन चैंपियनशिप,All England Open Badminton Championships
ऑल इण्डिया रेडियो,All India Radio
कदंब वंश,Kadamba dynasty
कन्नड़ भाषा,Kannada
कन्नड़ साहित्य,Kannada literature
कबड्डी,Kabaddi
करवर,Karwar
करावली,Kanara
कर्कला,Karkala
कर्नाटक,Karnataka
कर्नाटक उच्च न्यायालय,Karnataka High Court
कर्नाटक का स्थापत्य,Architecture of Karnataka
कर्नाटक के लोकसभा सदस्य,List of members of the 16th Lok Sabha
कर्नाटक बैंक,Karnataka Bank
कर्नाटक रत्न,Karnataka Ratna
कर्नाटक राज्य सड़क परिवहन निगम,Karnataka State Road Transport Corporation
कर्नाटक विश्वविद्यालय,Karnatak University
कर्नाटक संगीत,Carnatic music
कर्नाटक सरकार,Government of Karnataka
कार्पोरेशन बैंक,Corporation Bank
कालिदास सम्मान,Kalidas Samman
कावेरी,Kaveri
किंगफिशर एयरलाइंस,Kingfisher Airlines
कुक्के,Kukke Subramanya Temple
कुदालसंगम,Kudalasangama
कुद्रेमुख,Kudremukh
कुलोत्तुंग चोल १,Kulottunga I
कुवेंपु,Kuvempu
कुवेंपु विश्वविद्यालय,Kuvempu University
कृष्णा नदी,Krishna River
केनरा बैंक,Canara Bank
केन्द्रीय खाद्य प्रौद्योगिकी अनुसंधान संस्थान,Central Food Technological Research Institute
केन्द्रीय विद्युत अनुसंधान संस्थान,Central Power Research Institute
केरल,Kerala
कोंकण रेलवे,Konkan Railway
कोंकणी,Konkani language
कोडगु,Kodagu district
कोडव,Kodava people
कोप्पल,Koppal
क्राइस्ट विश्वविद्यालय,Christ University
क्रिकेट,Cricket
खो खो,Kho kho
गंगूबाई हंगल,Gangubai Hangal
गडग,Gadag-Betageri
गणेश चतुर्थी,Ganesh Chaturthi
गुलबर्ग,Gulbarga
गुलबर्ग विश्वविद्यालय,Gulbarga University
गोआ,Goa
गोकक करदंतु,Gokak
गोमतेश्वर,Shravanabelagola
गोल गुम्बज,Gol Gumbaz
चालुक्य,Chalukya (disambiguation)
चावल,Rice
चित्रकला परिषत,Karnataka Chitrakala Parishath
चित्रदुर्ग,Chitradurga
चिन्नई डांडु,Gillidanda
चिन्नास्वामी स्टेडियम,M. Chinnaswamy Stadium
चोल वंश,Chola dynasty
जनता दल,Janata Dal
जय भारत जननीय तनुजते,Jaya Bharata Jananiya Tanujate
जयसिंह,Jai Singh
जल प्रपात,Waterfall
ज़ीटीवी कन्नड़,Zee Kannada
जैन धर्म,Jainism
जैन साहित्य,Jain literature
जैवप्रौद्योगिकी,Biotechnology
जोग प्रपात,Jog Falls
ज्ञानपीठ पुरस्कार,Jnanpith Award
ज्ञानपीठ सम्मान,Jnanpith Award
टीवी९,TV9 Telugu
ट्वेन्टी-ट्वेन्टी,Twenty20
डीडी चंदना,DD Chandana
तमिल,Tamils
तमिल नाडु,Tamil Nadu
तमिलनाडु,Tamil Nadu
तालकाड़,Talakadu
तालुक,Tehsil
तुंगभद्रा नदी,Tungabhadra River
तुलु,Tulu language
तृतीय शताब्दी,3rd century
तेलुगु,Telugu language
द टाइम्स ऑफ इण्डिया,The Times of India
दक्खिन पठार,Deccan Plateau
दक्षिण कन्नड़,Dakshina Kannada
दक्षिण भारत,South India
दक्षिण रेलवे,Southern Railway zone
दीपावली,Diwali
दुर्ग,Durg
दूरदर्शन,Television
देवनहल्ली,Devanahalli
द्विसदनीय,Bicameralism
धारवाड़,Dharwad
नंद वंश,Nanda Empire
नंदी हिल,"Nandi Hills, India"
नाग पंचमी,Naga Panchami
नागरहोल राष्ट्रीय उद्यान,Nagarhole National Park
नेशनल एरोस्पेस लैबोरेटरीज़,National Aerospace Laboratories
पंकज आडवाणी,Pankaj Advani (billiards player)
पत्तदकल,Pattadakal (town)
पद्म भूषण,Padma Bhushan
पद्म विभूषण,Padma Vibhushan
पश्चिम गंग वंश,Western Ganga dynasty
पश्चिमी घाट,Western Ghats
पश्चिमी चालुक्य,Western Chalukya Empire
पश्चिमी चालुक्य वंश,Western Chalukya Empire
पश्चिमी रेलवे,Western Railway zone
पाषाण युग,Stone Age
पुरंदर दास,Purandara Dasa
पुर्तगाल,Portugal
प्रकाश पादुकोन,Prakash Padukone
फारसी साहित्य,Persian literature
बंगलुरु,Bangalore
बंगलुरु विश्वविद्यालय,Bangalore University
बंगलुरु शहरी,Bangalore Urban district
बनवसी,Banavasi
बनवासी,Banavasi
बनेरघाटा राष्ट्रीय उद्यान,Bannerghatta National Park
बयालुसीमी,Bayalu Seeme
बसव,Basava
बसव जयंती,Basava Jayanthi
बसवन्ना बागेवाड़ी,Basavana Bagewadi
बसवराज राजगुरु,Basavaraj Rajguru
बहमनी,Bahmani Sultanate
बहमनी साम्राज्य,Bahmani Sultanate
बहमनी सुल्तान,Bahmani Sultanate
बांदीपुर राष्ट्रीय उद्यान,Bandipur National Park
बादामी चालुक्य,Chalukya dynasty
बीजापुर,Bijapur
बीजापुर सल्तनत,Adil Shahi dynasty
बीदर,Bidar
बुक्का राय,Bukka Raya I
बेंगलुरु,Bangalore
बेलगाम,Belgaum
बेलूर,"Belur, Karnataka"
बेल्लारी,Bellary
बेल्लारी विमानक्षेत्र,Bellary Airport
बौद्ध धर्म,Buddhism
ब्याल आईटी निवेश क्षेत्र,BIAL IT Investment Region
भरतनाट्य,Bharatanatyam
भारत,India
भारत अर्थ मूवर्स लिमिटेड,BEML Limited
भारत इलेक्ट्रॉनिक्स लिमिटेड,Bharat Electronics Limited
भारत के राज्य,States and union territories of India
भारत के राष्ट्रपति,President of India
भारत सरकार,Government of India
भारत हैवी एलेक्ट्रिकल्स लिमिटेड,Bharat Heavy Electricals Limited
भारतीय अंतरिक्ष अनुसंधान संगठन,Indian Space Research Organisation
भारतीय खेल प्राधिकरण,Sports Authority of India
भारतीय जनता पार्टी,Bharatiya Janata Party
भारतीय पुलिस सेवा,Indian Police Service
भारतीय प्रबंधन संस्थान,Indian Institutes of Management
भारतीय प्रशासनिक सेवा,Indian Administrative Service
भारतीय प्रीमियर लीग,Indian Premier League
भारतीय प्रौद्योगिकी संस्थान,Indian Institutes of Technology
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
भारतीय राष्ट्रीय विधि विश्वविद्यालय,National Law School of India University
भारतीय विज्ञान संस्थान,Indian Institute of Science
भारतीय शास्त्रीय संगीत,Indian classical music
भारतीय हाकी टीम,India men's national field hockey team
भीमसेन जोशी,Bhimsen Joshi
मंगलोर,Mangalore
मंगलौर,Mangalore
मंगलौर विश्वविद्यालय,Mangalore University
मकर संक्रांति,Makar Sankranti
मगोड प्रपात,Magod Falls
मडिकेरी,Madikeri
मद्दूर वड़ा,Maddur vada
मयूर शर्मा,Mayurasharma
मराठी,Marathi language
मलयालम,Malayalam
मलेशिया,Malaysia
मल्लिकार्जुन मंसूर,Mallikarjun Mansur
मसाला दोसा,Masala dosa
महानगर,Metropolitan area
महामस्तकाभिषेक,Mahamastakabhisheka
महायन,Mahayana
महाराष्ट्र,Maharashtra
मानसून,Monsoon
मुंबई क्रिकेट टीम,Mumbai cricket team
मुक्त निर्देशिका परियोजना,DMOZ
मुख्य मंत्री,Chief minister
मुख्यमंत्री,Chief minister (India)
मुगल साम्राज्य,Mughal Empire
मुदबिद्री,Moodabidri
मुरुदेश्वर,Murdeshwar
मेलकोट,Melukote
मैंगलोर रिफाइनरी एंड पेट्रोकैमिकल्स लिमिटेड,Mangalore Refinery and Petrochemicals Limited
मैसूर,Mysore
मैसूर पाक,Mysore pak
मैसूर राज्य,Kingdom of Mysore
मौर्य,Maurya Empire
मौर्य वंश,Maurya Empire
यादगीर,Yadagiri
युनेस्को विश्व धरोहर,World Heritage Site
यू.पी.ए,United Progressive Alliance
रणजी ट्रॉफी,Ranji Trophy
रागी,Eleusine coracana
राजधानी,Capital city
राजराज चोल १,Rajaraja I
राजस्थान,Rajasthan
राजा रवि वर्मा,Raja Ravi Varma
राजाधिराज चोल १,Rajaraja I
राजीव गांधी स्वास्थ्य विज्ञान विश्वविद्यालय,Rajiv Gandhi University of Health Sciences
राजेन्द्र चोल १,Rajendra Chola I
राजेन्द्र चोल २,Rajendra Chola II
राज्य सभा,Rajya Sabha
राज्यपाल,Governor
रामानुजाचार्य,Ramanuja
रायचूर,Raichur
राष्ट्रीय उद्यान,National park
"राष्ट्रीय प्रौद्योगिकी संस्थान, कर्नाटक",National Institute of Technology Karnataka
रॉयल चैलेन्जर्स बैंगलौर,Royal Challengers Bangalore
लिंगायत,Lingayatism
लोक सभा,Lok Sabha
वन्य जीवन अभयारण्य,Wildlife refuge
विजयनगर,Vijayanagara
विजयनगर साम्राज्य,Vijayanagara Empire
विजया बैंक,Vijaya Bank
विधान परिषद,State Legislative Council (India)
विधान सभा,State Legislative Assembly (India)
विप्रो,Wipro
विमानक्षेत्र,Airport
विशिष्ट अद्वैत,Vishishtadvaita
विश्व धरोहर स्थल,World Heritage Site
विश्व स्नूकर चैंपियनशिप,World Snooker Championship
विश्वेश्वरैया उन्नत प्रौद्योगिकी संस्थान,Visvesvaraya Institute of Advanced Technology
विश्वेश्वरैया प्रौद्योगिकी विश्वविद्यालय,Visvesvaraya Institute of Advanced Technology
वीरशैवधर्म,Lingayatism
वैश्य बैंक,ING Vysya Bank
शिमोगा जिला,Shimoga district
शिवसमुद्रम,Shivanasamudra Falls
शृंगेरी,Sringeri
शोलापुर,Solapur district
श्रवणबेलगोला,Shravanabelagola
संग्रहालय,Museum
संयुक्त प्रगतिशील गठबंधन,United Progressive Alliance
सकल घरेलु उत्पाद,Gross domestic product
समुद्र सतह से ऊंचाई,Sea level
सम्राट अशोक,Ashoka
सवाई गंधर्व,Sawai Gandharva
साड़ी,Sari
सातवाहन वंश,Satavahana dynasty
सारनाथ,Sarnath
सार्वजनिक क्षेत्र,Public sector
सिंडिकेट बैंक,Syndicate Bank
सिंधु घाटी सभ्यता,Indus Valley Civilisation
सिरसी,"Sirsi, Karnataka"
सूचना प्रौद्योगिकी,Information technology
सेंट फ्रांसिस ज़ेवियर,Francis Xavier
सोरघम,Sorghum
स्टेट बैंक ऑफ मैसूर,State Bank of Mysore
स्मारक,Monument
स्वर्ण,Gold
हंगल,Hangal
हड़प्पा,Harappa
हम्पी,Hampi
हरिदास,Swami Haridas
हरिहर,Harihara
हर्मैन मोग्लिंग,Hermann Mögling
हाथी,Elephant
हिनायन,Hinayana
हिन्दी,Hindi
हिन्दुस्तान एयरोनॉटिक्स लिमिटेड,Hindustan Aeronautics Limited
हिन्दुस्तान मशीन टूल्स,HMT (company)
हिन्दुस्तानी संगीत,Hindustani classical music
हिन्दू,Hindus
हुबली,Hubli
हैलेबिड,Halebidu (town)
हैलेबिडु,Halebidu (town)
होयसाल वंश,Hoysala Empire
होयसाल साम्राज्य,Hoysala Empire
१ नवंबर,November 1
१०वीं शताब्दी,10th century
१०९८,1098
११२२,1122
१२वीं शताब्दी,12th century
१६वीं शताब्दी,16th century
१७वीं शताब्दी,17th century
१९५६,1956
१९७४,1974
१९९१,1991
२००१,2001
४ मई,May 4
४५०,450
५वीं शताब्दी,5th century
अंडमान और निकोबार द्वीप,Andaman and Nicobar Islands
अवक्षेपण,Precipitation (chemistry)
आंग्ल-मैसूर युद्ध,Anglo-Mysore Wars
आन्ध्र प्रदेश,Andhra Pradesh
इतिहास,History
ईसाई,Christians
उर्दू,Urdu
एशिया,Asia
कन्याकुमारी,Kanyakumari
कर्नाटक,Karnataka
कर्नाटक संगीत,Carnatic music
कावेरी नदी,Kaveri
केरल,Kerala
कोयम्बतूर,Coimbatore
